priority,category,source_url,lifecycle_status,seo_action,sales_action,compliance_gate,destination_if_any,reason,evidence,risk,confidence,missing_data,founder_approval
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/curry-leaves-dahl-recipe-30-minutes-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/curry-leaves-health-benefits-what-the-evidence-says-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/curry-leaves-in-australian-cooking-how-to-use-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/curry-leaves-recipes-beyond-dal,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=4.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/curry-leaves-substitute-what-to-use-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=93.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/curry-leaves-tea-how-to-make-benefits-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/curry-leaves-vs-curry-powder-difference-explained-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=9.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/darjeeling-black-tea-australia-first-flush-second-flush-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=6.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/darjeeling-black-tea-australia-guide,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/darjeeling-chai-latte-recipe-winter-coffee-alternative-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/darjeeling-tea-coffee-replacement-honest-assessment-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/darjeeling-tea-health-benefits-research-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=9.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/darjeeling-tea-vs-english-breakfast-comparison-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=23.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/diwali-gift-guide-curry-leaves-tea-australia,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/dried-curry-leaves-australia-guide,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/fresh-vs-dried-curry-leaves-cooking-comparison-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=5.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/glp-1-ozempic-nutrition-gaps-what-to-eat-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=11.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/grow-moringa-tree-australia,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=4.0; impressions=227.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/high-protein-moringa-recipes-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P1,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-long-does-moringa-powder-last-storage-shelf-life-2026,PROTECT,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=5.0; impressions=868.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-much-caffeine-in-darjeeling-tea-vs-coffee-green-tea-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=10.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-much-caffeine-safe-per-day-australia-fsanz-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=20.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-much-protein-australian-women-need-honest-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-to-add-moringa-to-diet,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=2.0; impressions=300.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-to-age-well-in-your-40s-healthy-ageing-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-to-balance-hormones-naturally-food-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-to-brew-darjeeling-tea-perfectly-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-to-build-balanced-plate-no-calorie-counting-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=4.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-to-eat-more-vegetables-practical-guide-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-to-make-moringa-tea-recipes-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=4.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-to-read-a-soap-ingredient-label,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-to-read-moringa-batch-codes-freshness,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/how-to-store-curry-leaves-fresh-dried-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=2.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/how-to-strengthen-immune-system-naturally-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/iron-deficiency-australian-women-symptoms-plant-based-sources-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/is-moringa-safe-for-children-kids-dosage-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=1.0; impressions=198.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/is-moringa-safe-for-dogs-benefits-dosage-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=108.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/is-moringa-worth-it-cost-value-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-and-berberine-australia-what-science-says-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=3.0; impressions=174.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-and-blood-sugar-diabetes-research-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-avocado-toast-recipe-anti-inflammatory-breakfast-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=5.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-benefits-for-women-comprehensive-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/moringa-brands-comparison-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=6.0; impressions=14.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-calm-mind-stress-brain-fog-cortisol-science-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-capsules-vs-powder-which-is-better-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=19.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/moringa-chemist-warehouse-vs-nutrithrive-quality-test-2025,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=1.0; impressions=55.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-energy-bites-kids-lunchbox-recipe-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-energy-what-happens-week-by-week-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/moringa-face-mask-australia-glow-ritual,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-for-breastfeeding-milk-supply-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-for-hair-growth-eating-evidence-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=9.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-for-menopause-symptoms-hormones-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-for-period-pain-pms-menstrual-health-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=5.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-for-weight-loss-evidence-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=5.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/moringa-heavy-metals-lab-testing-australia-what-to-look-for-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-oil-benefits-skin-hair-health-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P1,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-patches-australia-review-do-they-work,PROTECT,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=22.0; impressions=1665.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-powder-victoria-seniors-joint-health,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=1.0; impressions=64.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-pregnancy-safe-australia-trimester-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-side-effects-what-happens-take-too-much-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=3.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
