file,canonical_ok,title_len,title_band_50_60,meta_desc_len,meta_band_150_160,h1_count,shop_link_first_200w,commercial_links_main,internal_blog_links_main,img_missing_alt_main,noindex,year_2026_hint,redirects_file_marks_404,h1_preview,canonical,notes
blog/does-moringa-have-caffeine-truth-about-energy-focus-side-effects-2026.html,False,45,False,148,False,1,True,7,15,3,False,True,False,Does Moringa Have Caffeine? What I Felt on Energy and Focus,https://nutrithrive.com.au/blog/does-moringa-have-caffeine-truth-about-energy-focus-side-effects-2026,canonical_mismatch; title_len=45; meta_len=148; img_missing_alt=3
blog/fresh-moringa-leaves-vs-powder-nutrients-2026.html,False,49,False,155,True,1,True,5,11,0,False,True,False,Fresh Moringa Leaves vs Powder: Which Has More Nutrients? (2026),https://nutrithrive.com.au/blog/fresh-moringa-leaves-vs-powder-nutrients-2026,canonical_mismatch; title_len=49
blog/green-superfood-smoothie-recipes-australia-2026.html,False,47,False,169,False,1,True,4,8,3,False,True,False,Green Smoothie Recipes That Don’t Taste Like Lawn Clippings,https://nutrithrive.com.au/blog/green-superfood-smoothie-recipes-australia-2026,canonical_mismatch; title_len=47; meta_len=169; img_missing_alt=3
blog/high-protein-moringa-recipes-australia-2026.html,False,56,True,156,True,1,False,5,14,3,False,True,False,High-Protein Moringa Meals I Actually Cook in Australia,https://nutrithrive.com.au/blog/high-protein-moringa-recipes-australia-2026,canonical_mismatch; no_shop_link_first_200_words; img_missing_alt=3
blog/how-much-moringa-powder-per-day-dosage-guide-2026.html,False,47,False,147,False,1,True,5,9,0,False,True,False,How Much Moringa Powder Per Day? Dosage Guide (2026),https://nutrithrive.com.au/blog/how-much-moringa-powder-per-day-dosage-guide-2026,canonical_mismatch; title_len=47; meta_len=147
blog/how-to-add-moringa-to-diet.html,False,47,False,158,True,1,True,4,4,3,False,True,False,How I Actually Get Moringa Into Meals (Without Gagging),https://nutrithrive.com.au/blog/how-to-add-moringa-to-diet,canonical_mismatch; title_len=47; img_missing_alt=3
blog/how-to-choose-greens-powder-australia-2026.html,False,47,False,60,False,1,False,2,8,3,False,True,False,How to Choose the Right Greens Powder: Complete Buyer's Guide Australia 2026,https://nutrithrive.com.au/blog/how-to-choose-greens-powder-australia-2026,canonical_mismatch; title_len=47; meta_len=60; no_shop_link_first_200_words; commercial_links=2; img_missing_alt=3
blog/how-to-choose-moringa-powder-australia-2026.html,False,53,True,150,True,1,False,4,10,0,False,True,False,How to Choose Moringa Powder in Australia (2026),https://nutrithrive.com.au/blog/how-to-choose-moringa-powder-australia-2026,canonical_mismatch; no_shop_link_first_200_words
blog/how-to-grow-moringa-in-australia-complete-guide-2026.html,False,47,False,158,True,1,True,5,9,0,False,True,False,How to Grow Moringa in Australia (Complete Guide 2026),https://nutrithrive.com.au/blog/how-to-grow-moringa-in-australia-complete-guide-2026,canonical_mismatch; title_len=47
blog/how-to-read-moringa-batch-codes-freshness.html,False,49,False,148,False,1,True,5,11,3,False,True,False,Read Moringa Batch Codes & Check Freshness (Australia 2026),https://nutrithrive.com.au/blog/how-to-read-moringa-batch-codes-freshness,canonical_mismatch; title_len=49; meta_len=148; img_missing_alt=3
blog/how-to-use-moringa-powder-daily-without-the-bad-taste-2026.html,False,48,False,157,True,1,False,5,9,3,False,True,False,Using Moringa Daily Without the Grassy Taste Problem,https://nutrithrive.com.au/blog/how-to-use-moringa-powder-daily-without-the-bad-taste-2026,canonical_mismatch; title_len=48; no_shop_link_first_200_words; img_missing_alt=3
blog/index-directory.partial.html,False,0,False,0,False,0,False,0,44,0,False,True,False,,,h1_count=0; canonical_mismatch; title_len=0; meta_len=0; no_shop_link_first_200_words; commercial_links=0
blog/is-moringa-banned-australia-truth-2026.html,False,48,False,179,False,1,True,5,16,3,False,True,False,Is Moringa Banned in Australia? The Truth About Moringa Safety (2026),https://nutrithrive.com.au/blog/is-moringa-banned-australia-truth-2026,canonical_mismatch; title_len=48; meta_len=179; img_missing_alt=3
blog/magnesium-glycinate-honest-guide-australia-2026.html,False,84,False,194,False,1,False,2,4,0,False,True,False,Magnesium Glycinate: The Honest Guide Australians Actually Need,https://nutrithrive.com.au/blog/magnesium-glycinate-honest-guide-australia-2026,canonical_mismatch; title_len=84; meta_len=194; no_shop_link_first_200_words; commercial_links=2
blog/moringa-30-day-challenge-honest-results.html,False,55,True,46,False,1,False,4,19,3,False,True,False,30 Days of Moringa — Honest Results From Truganina,https://nutrithrive.com.au/blog/moringa-30-day-challenge-honest-results,canonical_mismatch; meta_len=46; no_shop_link_first_200_words; img_missing_alt=3
blog/moringa-benefits-for-women-comprehensive-2026.html,False,43,False,136,False,1,True,7,11,3,False,True,False,"Moringa Benefits for Women: Hormones, Energy & Clear Skin (Everything You Need to Know)",https://nutrithrive.com.au/blog/moringa-benefits-for-women-comprehensive-2026,canonical_mismatch; title_len=43; meta_len=136; img_missing_alt=3
blog/moringa-capsules-vs-powder-which-is-better-2026.html,False,47,False,165,False,1,True,5,10,0,False,True,False,Moringa Capsules vs Powder: Which Is Better? (2026),https://nutrithrive.com.au/blog/moringa-capsules-vs-powder-which-is-better-2026,canonical_mismatch; title_len=47; meta_len=165
blog/moringa-chemist-warehouse-vs-nutrithrive-quality-test-2025.html,False,67,False,157,True,1,False,3,9,2,False,True,False,Moringa Chemist Warehouse & Capsules: What We Found (2026),https://nutrithrive.com.au/blog/moringa-chemist-warehouse-vs-nutrithrive-quality-test-2025,canonical_mismatch; title_len=67; no_shop_link_first_200_words; img_missing_alt=2
blog/moringa-honest-truth-science-australia-2026.html,False,78,False,139,False,1,False,3,7,3,False,True,False,I Was Sceptical About Moringa — Until I Read 26 Clinical Studies,https://nutrithrive.com.au/blog/moringa-honest-truth-science-australia-2026,canonical_mismatch; title_len=78; meta_len=139; no_shop_link_first_200_words; img_missing_alt=3
blog/moringa-melbourne-complete-growers-report-2026.html,False,47,False,152,True,1,False,1,29,3,False,True,False,Growing Moringa in Melbourne,https://nutrithrive.com.au/blog/moringa-melbourne-complete-growers-report-2026,canonical_mismatch; title_len=47; no_shop_link_first_200_words; commercial_links=1; img_missing_alt=3
blog/moringa-melbourne-complete-guide-2026.html,False,53,True,93,False,1,False,3,15,3,False,True,False,Moringa in Melbourne: What I Tell Every Local Buyer,https://nutrithrive.com.au/blog/moringa-melbourne-complete-guide-2026,canonical_mismatch; meta_len=93; no_shop_link_first_200_words; img_missing_alt=3
blog/moringa-oil-benefits-skin-hair-health-2026.html,False,53,True,156,True,1,True,5,9,0,False,True,False,"Moringa Oil Benefits: Uses for Skin, Hair & Health (2026)",https://nutrithrive.com.au/blog/moringa-oil-benefits-skin-hair-health-2026,canonical_mismatch
blog/moringa-powder-victoria-seniors-joint-health.html,False,54,True,148,False,1,True,13,11,3,False,True,False,Moringa for Victorian Seniors,https://nutrithrive.com.au/blog/moringa-powder-victoria-seniors-joint-health,canonical_mismatch; meta_len=148; img_missing_alt=3
blog/moringa-quality-test-shade-dried-vs-retail-australia-2026.html,False,49,False,160,True,1,False,3,13,3,False,True,False,Shade-Dried vs Shelf Moringa — What We See in the Warehouse,https://nutrithrive.com.au/blog/moringa-quality-test-shade-dried-vs-retail-australia-2026,canonical_mismatch; title_len=49; no_shop_link_first_200_words; img_missing_alt=3
blog/moringa-side-effects-what-happens-take-too-much-2026.html,False,52,True,173,False,1,True,5,18,0,False,True,False,Moringa Side Effects: What Happens If You Take Too Much? (2026),https://nutrithrive.com.au/blog/moringa-side-effects-what-happens-take-too-much-2026,canonical_mismatch; meta_len=173
blog/moringa-tea-benefits-how-to-brew-2026-guide.html,False,40,False,161,False,1,True,5,12,0,False,True,False,Moringa Tea Benefits: How to Brew Moringa Tea (2026),https://nutrithrive.com.au/blog/moringa-tea-benefits-how-to-brew-2026-guide,canonical_mismatch; title_len=40; meta_len=161
blog/moringa-vs-coffee-melbourne-energy-hack.html,False,60,True,151,True,2,False,13,13,3,False,True,False,"The $7 Latte Is Over: Why Melbourne Is Switching to This ""Green Gold"" Energy Hack (2026 Guide)",https://nutrithrive.com.au/blog/moringa-vs-coffee-melbourne-energy-hack,h1_count=2; canonical_mismatch; no_shop_link_first_200_words; img_missing_alt=3
blog/moringa-vs-spirulina-vs-matcha-comparison-australia.html,False,47,False,158,True,1,False,3,3,3,False,True,False,Moringa vs Spirulina vs Matcha — Side-by-Side in Australia,https://nutrithrive.com.au/blog/moringa-vs-spirulina-vs-matcha-comparison-australia,canonical_mismatch; title_len=47; no_shop_link_first_200_words; img_missing_alt=3
blog/nutrithrive-dried-curry-leaves-tradition-health.html,False,47,False,136,False,2,False,15,3,3,False,True,False,Natural Curry Leaves Australia: NutriThrive Farm Story & Premium Sourcing,https://nutrithrive.com.au/blog/nutrithrive-dried-curry-leaves-tradition-health,h1_count=2; canonical_mismatch; title_len=47; meta_len=136; no_shop_link_first_200_words; img_missing_alt=3
blog/quit-sugar-90-days-honest-diary-melbourne-2026.html,False,46,False,159,True,1,True,8,8,3,False,True,False,I Quit Sugar for 90 Days: Honest Diary (Including the Tim Tam Meltdown) (2026),https://nutrithrive.com.au/blog/quit-sugar-90-days-honest-diary-melbourne-2026,canonical_mismatch; title_len=46; img_missing_alt=3
blog/science-shade-drying-vs-sun-drying-moringa.html,False,49,False,143,False,1,True,4,7,3,False,True,False,Shade-Dried vs Sun-Dried Moringa — Why Colour Matters,https://nutrithrive.com.au/blog/science-shade-drying-vs-sun-drying-moringa,canonical_mismatch; title_len=49; meta_len=143; img_missing_alt=3
blog/verify-moringa-quality-premium-buyers-checklist-2026.html,False,48,False,3,False,1,False,3,13,3,False,True,False,How I Check Moringa Quality Before We Pack a Batch,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,canonical_mismatch; title_len=48; meta_len=3; no_shop_link_first_200_words; img_missing_alt=3
blog/what-does-moringa-do-for-your-body-complete-guide-2026.html,False,44,False,176,False,1,True,5,15,0,False,True,False,What Does Moringa Do For Your Body? (Complete Guide 2026),https://nutrithrive.com.au/blog/what-does-moringa-do-for-your-body-complete-guide-2026,canonical_mismatch; title_len=44; meta_len=176
blog/what-to-eat-when-too-tired-melbourne-2026.html,False,38,False,149,False,1,True,8,8,3,False,True,False,Too Tired to Cook in Melbourne? Food That Actually Helps,https://nutrithrive.com.au/blog/what-to-eat-when-too-tired-melbourne-2026,canonical_mismatch; title_len=38; meta_len=149; img_missing_alt=3
blog/where-to-buy-moringa-in-australia-online-vs-stores-2026-guide.html,False,54,True,152,True,1,False,9,18,3,False,True,False,Where to Buy Moringa Australia 2026,https://nutrithrive.com.au/blog/where-to-buy-moringa-in-australia-online-vs-stores-2026-guide,canonical_mismatch; no_shop_link_first_200_words; img_missing_alt=3
blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder.html,False,57,True,148,False,2,False,2,22,3,False,True,False,"Why I Build NutriThrive: A Melbourne Moringa Story, Told Plainly",https://nutrithrive.com.au/blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder,h1_count=2; canonical_mismatch; meta_len=148; no_shop_link_first_200_words; commercial_links=2; img_missing_alt=3
blog/why-premium-moringa-costs-11-not-25-value-vs-markup-2026.html,False,45,False,122,False,1,False,3,11,3,False,True,False,"Why Real Premium Moringa Costs $11, Not $25",https://nutrithrive.com.au/blog/why-premium-moringa-costs-11-not-25-value-vs-markup-2026,canonical_mismatch; title_len=45; meta_len=122; no_shop_link_first_200_words; img_missing_alt=3
